"offerID"|"name"
"bestbuy_139"|"Alienware - 17.3in Laptop - Intel Core i7 - 8GB Memory - NVIDIA GeForce GTX 1060 OC Edition - 1TB HDD + 256GB Solid State Drive - Epic Silver"
"bestbuy_152"|"Apple - Macbook® - 12in Display - Intel Core M3 - 8GB Memory - 256GB Flash Storage (Latest Model) - Space Gray"
"bestbuy_18"|"Acer - 15.6in Chromebook - Intel Core i3 - 4GB Memory - 32GB Solid State Drive - Black"
"bestbuy_22"|"Acer - 15.6in Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce MX150 - 1TB Hard Drive + 256GB Solid State Drive - Obsidian Black"
"bestbuy_279"|"ASUS - 13.3in Laptop - Intel Core i7 - 8GB Memory - 256GB Solid State Drive - Icicle Gold"
"bestbuy_281"|"ASUS - 14in Laptop - AMD Quad Core E2-6110 - 4GB Memory - 64GB eMMC Flash Memory - Dark Blue"
"bestbuy_286"|"ASUS - 15.6in Laptop - Intel Core i7 - 8GB Memory - 1TB Hard Drive + 128GB Solid State Drive - Metal Gold"
"bestbuy_299"|"ASUS - ASUSPRO P2540UB 15.6in Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce MX110 - 256GB Solid State Drive - Black"
"bestbuy_301"|"ASUS - ASUSPRO P5440UF 14in Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce MX130 - 512GB Solid State Drive - Gray"
"bestbuy_305"|"ASUS - Flip C213SA 2-in-1 11.6in Touch-Screen Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory - Gray dark gray"
"bestbuy_315"|"ASUS - ROG Strix Hero Edition 15.6in Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce GTX 1050Ti - 1TB+8GB SSHD + 128GB SSD - Black"
"bestbuy_318"|"ASUS - ROG Strix Scar Edition 17.3in Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1060 - 1TB SSHD + 256GB SSD - Black"
"bestbuy_319"|"ASUS - ROG Strix Scar Edition 17.3in Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1070 - 1TB SSHD + 256GB SSD - Black Gunmetal"
"bestbuy_321"|"ASUS - ROG Zephyrus M 15.6in Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1070 - 1TB Hybrid Drive + 256GB SSD - Black"
"bestbuy_322"|"ASUS - Strix GL504GS 15.6in Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1070 - 1TB HDD + 256GB SSD - Black"
"bestbuy_324"|"ASUS - Transformer Book T101HA - 10.1in - Tablet - 64GB - With Keyboard - Glacier gray"
"bestbuy_332"|"ASUS - VivoBook 15 15.6in Laptop - Intel Core i5 - 8GB Memory - 1TB + 8GB Hybrid Hard Drive - Black"
"bestbuy_333"|"ASUS - VivoBook 15 15.6in Laptop - Intel Core i7 - 8GB Memory - 1TB + 8GB Hybrid Hard Drive - Dark Brown Gold"
"bestbuy_344"|"ASUS - VivoBook Flip 14 TP412UA 2-in-1 14in Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Star Gray"
"bestbuy_351"|"ASUS - VivoBook S15 15.6in Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Starry Gray With Red Edges"
"bestbuy_352"|"ASUS - VivoBook X540YA 15.6in Laptop - AMD E2-Series - 4GB Memory - AMD Radeon R2 - 500GB Hard Drive - Gold Chocolate Black"
"bestbuy_354"|"ASUS - Zenbook 15.6in Touch-Screen Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1050 Ti - 512GB SSD - Matte black"
"bestbuy_355"|"ASUS - ZenBook 3 Deluxe UX490UA 14in Laptop - Intel Core i7 - 16GB Memory - 512GB Solid State Drive - Royal blue"
"bestbuy_356"|"ASUS - ZenBook Flip 2-in-1 14in Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Slate Gray"
"bestbuy_384"|"Dell - 15.6in Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce GTX 1060 - 1TB Hard Drive + 128GB Solid State Drive - Black"
"bestbuy_407"|"Dell - Inspiron 15.6in 4K Ultra HD Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1060 - 1TB HDD + 512GB SSD - Matte Black"
"bestbuy_411"|"Dell - Inspiron 15.6in Laptop - Intel Core i5 - 8GB Memory - 1TB Hard Drive - Silver"
"bestbuy_464"|"Dell - Latitude 14in Laptop - Intel Core i5 - 4GB Memory - 500GB Hard Drive"
"bestbuy_473"|"Dell - Latitude 14in Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive"
"bestbuy_474"|"Dell - Latitude 14in Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Black"
"bestbuy_485"|"Dell - Latitude 14in Laptop - Intel Core i7 - 16GB Memory - 256GB Solid State Drive"
"bestbuy_522"|"Dell - Latitude 15.6in Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive"
"bestbuy_529"|"Dell - Latitude 15.6in Laptop - Intel Core i7 - 16GB Memory - 512GB Solid State Drive"
"bestbuy_54"|"Acer - Aspire 3 15.6in Laptop - Intel Core i5 - 6GB Memory - 1TB Hard Drive - Obsidian Black"
"bestbuy_578"|"HP - 15.6in Laptop - Intel Core i5 - 4GB Memory - 500GB Hard Drive - Dark Ash Silver Woven Texture"
"bestbuy_581"|"HP - 15.6in Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce GTX 1050 Ti - 1TB Hard Drive + 128GB Solid State Drive - HP Matte Finish In Shadow Black And Acid Green"
"bestbuy_584"|"HP - 15.6in Touch-Screen Laptop - AMD Ryzen 5 - 8GB Memory - 1TB Hard Drive - HP Finish In Smoke Gray And Ash Silver"
"bestbuy_613"|"HP - EliteBook 14in Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Silver"
"bestbuy_617"|"HP - EliteBook 14in Laptop - Intel Core i7 - 16GB Memory - 512GB Solid State Drive - Silver"
"bestbuy_618"|"HP - EliteBook 14in Laptop - Intel Core i7 - 8GB Memory - 256GB Solid State Drive - Natural Silver Diamond Cut Design"
"bestbuy_637"|"HP - EliteBook 15.6in Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Silver"
